title,neighbor_title,rank,wasserstein2_distance
최면술사에겐 비밀보호 의무가 없다,청소하실 레옹?,2,0.4040454626083374
최면술사에겐 비밀보호 의무가 없다,마이 러블리 투투,3,0.4115575850009918
최면술사에겐 비밀보호 의무가 없다,내 최애가 위험해,4,0.41565296053886414
최면술사에겐 비밀보호 의무가 없다,사랑을 피하여,5,0.42443156242370605
최면술사에겐 비밀보호 의무가 없다,포근한 그 남자,6,0.4248698949813843
최면술사에겐 비밀보호 의무가 없다,다정종합병원,7,0.4254750907421112
최면술사에겐 비밀보호 의무가 없다,어느날 절친이 남자가 되어버렸다,8,0.44446414709091187
최면술사에겐 비밀보호 의무가 없다,환생소녀,9,0.44591304659843445
최면술사에겐 비밀보호 의무가 없다,오빠야 누나야,10,0.449123740196228
편지창조,강도하 청춘 시리즈,1,0.2996380031108856
편지창조,40억 vs 1,2,0.3290919065475464
편지창조,보이지 않는 사람,3,0.3576216697692871
편지창조,다정종합병원,4,0.36844560503959656
편지창조,너에게 하고 싶은 말,5,0.3743301331996918
편지창조,신농사직설,6,0.3753187656402588
편지창조,야수,7,0.3914572298526764
편지창조,환생소녀,8,0.39924949407577515
편지창조,사랑을 피하여,9,0.4065801799297333
편지창조,내 최애가 위험해,10,0.4106564223766327
포근한 그 남자,환생소녀,1,0.251107394695282
포근한 그 남자,어느날 절친이 남자가 되어버렸다,2,0.25116974115371704
포근한 그 남자,오빠야 누나야,3,0.26714766025543213
포근한 그 남자,상자 속 1/36,4,0.2675535976886749
포근한 그 남자,너에게 하고 싶은 말,5,0.27722597122192383
포근한 그 남자,붉은실 월하,6,0.2880586087703705
포근한 그 남자,청소하실 레옹?,7,0.29168179631233215
포근한 그 남자,사랑을 피하여,8,0.2951376736164093
포근한 그 남자,악녀로 살라신다,9,0.2979273200035095
포근한 그 남자,내 최애가 위험해,10,0.29971230030059814
환생소녀,너에게 하고 싶은 말,1,0.2205781489610672
환생소녀,포근한 그 남자,2,0.251107394695282
환생소녀,내 최애가 위험해,3,0.2588953673839569
환생소녀,사랑을 피하여,4,0.26473677158355713
환생소녀,어느날 절친이 남자가 되어버렸다,5,0.29220181703567505
환생소녀,붉은실 월하,6,0.3008989691734314
환생소녀,오빠야 누나야,7,0.3140551447868347
환생소녀,청소하실 레옹?,8,0.31429189443588257
환생소녀,실신남녀,9,0.31500378251075745
환생소녀,상자 속 1/36,10,0.3159314692020416
회귀했더니 가문이 망했다,붉은실 월하,1,0.3442755341529846
회귀했더니 가문이 망했다,포근한 그 남자,2,0.35113218426704407
회귀했더니 가문이 망했다,어느날 절친이 남자가 되어버렸다,3,0.35669010877609253
